Jabatan,Kode Unit,Judul Unit,Elemen Kompetensi,KUK
Manager,C.29TDI01.001.1,Merumuskan Aspirasi Transformasi Industri 4.0,Mengenali industri 4.0,"latar belakang, keuntungan tantangan industri diidentifikasi"
Manager,C.29TDI01.001.1,Merumuskan Aspirasi Transformasi Industri 4.0,Mengenali industri 4.0,teknologi informasi mendukung kinerja industri diidentifikasi
Manager,C.29TDI01.001.1,Merumuskan Aspirasi Transformasi Industri 4.0,Mengenali industri 4.0,karakteristik industri diidentifikasi holistik
Manager,C.29TDI01.001.1,Merumuskan Aspirasi Transformasi Industri 4.0,Mengenali industri 4.0,kualifikasi sdm diformulasikan sesuai karakteristik industri .
Manager,C.29TDI01.001.1,Merumuskan Aspirasi Transformasi Industri 4.0,Mengidentifikasi core element industri 4.0,core technology industri diidentifikasi
Manager,C.29TDI01.001.1,Merumuskan Aspirasi Transformasi Industri 4.0,Mengidentifikasi core element industri 4.0,core process relevan industri dikategorikan berdasarkan kasus bisnis
Manager,C.29TDI01.001.1,Merumuskan Aspirasi Transformasi Industri 4.0,Mengidentifikasi core element industri 4.0,persyaratan kualifikasi personil proses kerja industri diidentifikasi.
Manager,C.29TDI01.001.1,Merumuskan Aspirasi Transformasi Industri 4.0,Membuat peta pemangku kepentingan,pemangku kepentingan terkait transformasi industri diidentifikasi
Manager,C.29TDI01.001.1,Merumuskan Aspirasi Transformasi Industri 4.0,Membuat peta pemangku kepentingan,current condition pemangku kepentingan dipetakan berdasarkan fungsi organisasi.
Manager,C.29TDI01.002.1,Merumuskan Peluang Penerapan Transformasi Industri 4.0,Melakukan business model analysis dan business process,business model sedang berjalan diidentifikasi
Manager,C.29TDI01.002.1,Merumuskan Peluang Penerapan Transformasi Industri 4.0,Melakukan business model analysis dan business process,peluang business model baru diidentifikasi berdasarkan transformasi industri
Manager,C.29TDI01.002.1,Merumuskan Peluang Penerapan Transformasi Industri 4.0,Melakukan business model analysis dan business process,business process dipetakan sesuai peluang penerapan transformasi
Manager,C.29TDI01.002.1,Merumuskan Peluang Penerapan Transformasi Industri 4.0,Melakukan business model analysis dan business process,peningkatan pencapaian target kinerja dikaji sesuai peluang transformasi.
Manager,C.29TDI01.002.1,Merumuskan Peluang Penerapan Transformasi Industri 4.0,Melakukan gap analysis,hasil analisis kebutuhan dibandingkan kondisi ini
Manager,C.29TDI01.002.1,Merumuskan Peluang Penerapan Transformasi Industri 4.0,Melakukan gap analysis,penerapan transformasi dianalisis berdasarkan peluang peningkatan capaian kinerja.
Manager,C.29TDI01.002.1,Merumuskan Peluang Penerapan Transformasi Industri 4.0,Menentukan peluang peningkatan capaian kinerja,ruang lingkup ditentukan berdasarkan strategi perusahaan
Manager,C.29TDI01.002.1,Merumuskan Peluang Penerapan Transformasi Industri 4.0,Menentukan peluang peningkatan capaian kinerja,capaian kinerja ditetapkan sesuai ruang lingkup transformasi.
Manager,C.29TDI01.003.1,Merencanakan Transformasi Industri 4.0,Menentukan target transformasi industri 4.0,parameter kpi transformasi ditentukan sesuai ruang lingkup
Manager,C.29TDI01.003.1,Merencanakan Transformasi Industri 4.0,Menentukan target transformasi industri 4.0,tahapan capaian target ditentukan memastikan penerapan sesuai rencana
Manager,C.29TDI01.003.1,Merencanakan Transformasi Industri 4.0,Menentukan target transformasi industri 4.0,business model ditentukan memperhatikan peluang bisnis baru.
Manager,C.29TDI01.003.1,Merencanakan Transformasi Industri 4.0, Membuat business process dan roadmap,proyek transformasi akan diimplementasikan diidentifikasi
Manager,C.29TDI01.003.1,Merencanakan Transformasi Industri 4.0, Membuat business process dan roadmap,target transformasi business process dirumuskan sesuai kpi
Manager,C.29TDI01.003.1,Merencanakan Transformasi Industri 4.0, Membuat business process dan roadmap,roadmap transformasi dirumuskan sesuai target.
Manager,C.29TDI01.003.1,Merencanakan Transformasi Industri 4.0,Membuat strategi penerapan roadmap,penerapan dikaji mengantisipasi kondisi vuca
Manager,C.29TDI01.003.1,Merencanakan Transformasi Industri 4.0,Membuat strategi penerapan roadmap,strategi transformasi dirumuskan.
Manager,C.29TDI01.004.1,Melakukan Pilot Project Industri 4.0,Menyiapkan proyek,tim dibentuk
Manager,C.29TDI01.004.1,Melakukan Pilot Project Industri 4.0,Menyiapkan proyek,sumber daya disiapkan
Manager,C.29TDI01.004.1,Melakukan Pilot Project Industri 4.0,Menyiapkan proyek,jadwal disusun.
Manager,C.29TDI01.004.1,Melakukan Pilot Project Industri 4.0,Mengimplementasikan solusi,solusi diuji skala terbatas
Manager,C.29TDI01.004.1,Melakukan Pilot Project Industri 4.0,Mengimplementasikan solusi,data performa dikumpulkan.
Manager,C.29TDI01.005.1,Mengevaluasi Implementasi Solusi Transformasi,Memantau progres,monitoring berkala dilakukan
Manager,C.29TDI01.005.1,Mengevaluasi Implementasi Solusi Transformasi,Memantau progres,hambatan diidentifikasi diatasi.
Manager,C.29TDI01.005.1,Mengevaluasi Implementasi Solusi Transformasi,Menganalisis hasil,perbandingan hasil vs target dilakukan
Manager,C.29TDI01.005.1,Mengevaluasi Implementasi Solusi Transformasi,Menganalisis hasil,rekomendasi perbaikan disusun.
Manager,C.29TDI01.006.1,Mengevaluasi Dampak Penerapan Transformasi, Mengukur dampak bisnis,dampak roi dihitung
Manager,C.29TDI01.006.1,Mengevaluasi Dampak Penerapan Transformasi, Mengukur dampak bisnis,dampak efisiensi operasional dianalisis.
Manager,C.29TDI01.006.1,Mengevaluasi Dampak Penerapan Transformasi,Menyusun laporan akhir,laporan evaluasi komprehensif disusun
Manager,C.29TDI01.006.1,Mengevaluasi Dampak Penerapan Transformasi,Menyusun laporan akhir,strategi keberlanjutan direkomendasikan.
Engineer,C.29TDI02.001.1,Merencanakan Rekayasa Kasus Bisnis Industri 4.0,dentifikasi kebutuhan teknis,kebutuhan perangkat keraslunak dipetakan
Engineer,C.29TDI02.001.1,Merencanakan Rekayasa Kasus Bisnis Industri 4.0,dentifikasi kebutuhan teknis,arsitektur solusi dirancang.
Engineer,C.29TDI02.002.1,Mengimplementasikan Kasus Bisnis,Eksekusi teknis,integrasi sistem dilakukan
Engineer,C.29TDI02.002.1,Mengimplementasikan Kasus Bisnis,Eksekusi teknis,konfigurasi teknologi dilaksanakan.
Engineer,C.29TDI02.003.1,Melakukan Internalisasi Solusi Kasus Bisnis,Edukasi pengguna,pelatihan operasional diberikan
Engineer,C.29TDI02.003.1,Melakukan Internalisasi Solusi Kasus Bisnis,Edukasi pengguna,dokumentasi teknis diserahkan.
Maintainer,C.29TDI03.001.1,Mengelola Smart Maintenance,Pengaturan sistem perawatan,jadwal perawatan digital disusun
Maintainer,C.29TDI03.001.1,Mengelola Smart Maintenance,Pengaturan sistem perawatan,sensor pemantauan dikelola.
Maintainer,C.29TDI03.002.1,Menggunakan Digital Assistance,Operasional bantuan digital,perangkat arvr digunakan
Maintainer,C.29TDI03.002.1,Menggunakan Digital Assistance,Operasional bantuan digital,instruksi kerja digital diikuti.
Maintainer,C.29TDI03.003.1,Melakukan Predictive Maintenance,Analisis data kondisi mesin,data sensor dipantau
Maintainer,C.29TDI03.003.1,Melakukan Predictive Maintenance,Analisis data kondisi mesin,prediksi kerusakan dianalisis tindakan pencegahan.
